room field
room house
room entry
room hall
room bedroom
object bed
room closet
object diamond
room kitchen
object kettle
room stairway
room basement
object hammer
object pliers
room porch
object doormat
room tunnel
object pick
object shovel
room end

roomexits field n:house
roomexits house s:field n:entry
roomexits entry s:entry e:closet n:hall
roomexits closet w:entry
roomexits hall s:entry n:kitchen w:bedroom
roomexits bedroom e:hall
roomexits kitchen s:hall e:stairway n:porch
roomexits porch s:kitchen
roomexits stairway w:basement e:kitchen
roomexits basement e:stairway w:tunnel
